 https___docs_google_com_presentation_d_e_2PACX_1vQvAHQZovOnDkh4o64HXR9GvJq3Sng2e3WQyqcGM8AOX4IlDhivVDVdPy6rP1hClAgeV9tcgbIaXyi7_pub_start_false_loop_false_delayms_3000_slide_idp101602 68780 cloaking detected 
 https___docs_google_com_presentation_d_e_2PACX_1vSVDECuHh0_WTHteL3DfbitVJoIhY3wBajywMTUHNQmSTQ7yI_Jbv9KRHIeIPWhxz9BXlw_FW_ZWfcC_pub_start_false_loop_false_delayms_3000_slide_id_p87842 54666 cloaking detected 
1066 1066 no cloaking 
74602 74602 no cloaking 
524 524 no cloaking 
524 524 no cloaking 
524 524 no cloaking 
524 524 no cloaking 
1508 1508 no cloaking 
534 534 no cloaking 
534 534 no cloaking 
1508 1508 no cloaking 
1508 1508 no cloaking 
432 432 no cloaking 
432 432 no cloaking 
432 432 no cloaking 
432 432 no cloaking 
218 218 no cloaking 
218 218 no cloaking 
9681 9681 no cloaking 
9681 9681 no cloaking 
529 529 no cloaking 
1262 1262 no cloaking 
1262 1262 no cloaking 
1508 1508 no cloaking 
1508 1508 no cloaking 
35230 35230 no cloaking 
39266 39266 no cloaking 
35230 35230 no cloaking 
4613 4613 no cloaking 
4664 4664 no cloaking 
39266 39266 no cloaking 
39266 39266 no cloaking 
38306 38306 no cloaking 
8 8 no cloaking 
132512 132512 no cloaking 
132512 132512 no cloaking 
132512 132512 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
568 568 no cloaking 
146268 146268 no cloaking 
568 568 no cloaking 
146268 146268 no cloaking 
39856 39856 no cloaking 
4613 4613 no cloaking 
38306 38306 no cloaking 
38306 38306 no cloaking 
38306 38306 no cloaking 
38306 38306 no cloaking 
39856 39856 no cloaking 
39856 39856 no cloaking 
39856 39856 no cloaking 
39856 39856 no cloaking 
39856 39856 no cloaking 
39091 39091 no cloaking 
38216 38216 no cloaking 
38216 38216 no cloaking 
38216 38216 no cloaking 
38216 38216 no cloaking 
38216 38216 no cloaking 
39091 39091 no cloaking 
8 8 no cloaking 
4611 4611 no cloaking 
4611 4611 no cloaking 
4611 4611 no cloaking 
37498 37498 no cloaking 
37498 37498 no cloaking 
183166 183166 no cloaking 
183166 183166 no cloaking 
183166 183166 no cloaking 
183166 183166 no cloaking 
39677 39677 no cloaking 
39677 39677 no cloaking 
8 8 no cloaking 
8 8 no cloaking 
38717 38717 no cloaking 
38717 38717 no cloaking 
39421 39421 no cloaking 
39421 39421 no cloaking 
38717 38717 no cloaking 
38717 38717 no cloaking 
38717 38717 no cloaking 
38717 38717 no cloaking 
38717 38717 no cloaking 
22939 22939 no cloaking 
1032018 1032018 no cloaking 
1032018 1032018 no cloaking 
22544 22544 no cloaking 
59472 59472 no cloaking 
59472 59472 no cloaking 
 https___solitysaude_com_br_com_load0 93782 cloaking detected 
238 238 no cloaking 
7720 7720 no cloaking 
7720 7720 no cloaking 
15646 15646 no cloaking 
2859 2859 no cloaking 
 https___donaldgoulard51_wixsite_com_my_site331290 344447 cloaking detected 
 https___xn____8sbemmp6c_xn__p1ai_nftlz_html1220 87341 cloaking detected 
264 264 no cloaking 
2748 2748 no cloaking 
448 448 no cloaking 
70158 70158 no cloaking 
70158 70158 no cloaking 
218 218 no cloaking 
218 218 no cloaking 
 https___docs_google_com_presentation_d_e_2PACX_1vQvAHQZovOnDkh4o64HXR9GvJq3Sng2e3WQyqcGM8AOX4IlDhivVDVdPy6rP1hClAgeV9tcgbIaXyi7_pub_start_false_loop_false_delayms_3000_slide_id_p_3E101929 68758 cloaking detected 
60798 60798 no cloaking 
 https___docs_google_com_presentation_d_e_2PACX_1vQvAHQZovOnDkh4o64HXR9GvJq3Sng2e3WQyqcGM8AOX4IlDhivVDVdPy6rP1hClAgeV9tcgbIaXyi7_pub_start_false_loop_false_delayms_3000_slide_id_p101897 68735 cloaking detected 
60775 60775 no cloaking 
 http___t_ly_widibasicurezza61622 60629 cloaking detected 
4643 4643 no cloaking 
60775 60775 no cloaking 
4266 4266 no cloaking 
4266 4266 no cloaking 
 https___docs_google_com_presentation_d_e_2PACX_1vSJCmp_rBUfMWBOTdQzQMMa7FpNbmDFMOEmjGpTZxTFgaq83wRAn5RHYijXCqfGgl2r_ELkcARi0a61_pub_start_false_loop_false_delayms_3000103540 70427 cloaking detected 
7303 7303 no cloaking 
7303 7303 no cloaking 
60798 60798 no cloaking 
20979 20979 no cloaking 
2748 2748 no cloaking 
 https___sites_google_com_view_gmx1_home52235 52174 cloaking detected 
6441 6441 no cloaking 
6441 6441 no cloaking 
6441 6441 no cloaking 
 https___docs_google_com_presentation_d_e_2PACX_1vSmmHd7Ptt_SRd9K45y0Fz5p5MQVx6_oqeaARuIL1KnO0_ZtzSljGclpLlQdQTC_89_7CQX__vAMl1d_pub_start_true_loop_false_delayms_300097797 64359 cloaking detected 
 https___docs_google_com_presentation_d_e_2PACX_1vS_THTKyYkD25WmqGigrDc7yEkbWabQd8bzwp0kdVAFMa8FT3hJi6xgBweOnFYCfs5wYKD4HBiSQ8eW_pub_start_false_loop_false_delayms_300096263 62912 cloaking detected 
 https___new_express_adobe_com_webpage_Hulcoa7KpZwLA60775 60798 cloaking detected 
146 146 no cloaking 
146 146 no cloaking 
108880 108880 no cloaking 
13534 13534 no cloaking 
13534 13534 no cloaking 
295 295 no cloaking 
295 295 no cloaking 
295 295 no cloaking 
264 264 no cloaking 
264 264 no cloaking 
220 220 no cloaking 
220 220 no cloaking 
264 264 no cloaking 
264 264 no cloaking 
429 429 no cloaking 
9681 9681 no cloaking 
9681 9681 no cloaking 
1277 1277 no cloaking 
4626 4626 no cloaking 
1316 1316 no cloaking 
39252 39252 no cloaking 
8 8 no cloaking 
4613 4613 no cloaking 
4664 4664 no cloaking 
4613 4613 no cloaking 
201200 201200 no cloaking 
201200 201200 no cloaking 
4611 4611 no cloaking 
4675 4675 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
4611 4611 no cloaking 
183176 183176 no cloaking 
183176 183176 no cloaking 
183176 183176 no cloaking 
183176 183176 no cloaking 
183176 183176 no cloaking 
183176 183176 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
4675 4675 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
8 8 no cloaking 
4611 4611 no cloaking 
4662 4662 no cloaking 
39354 39354 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
4611 4611 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
7358 7358 no cloaking 
39457 39457 no cloaking 
39354 39354 no cloaking 
39354 39354 no cloaking 
39354 39354 no cloaking 
39354 39354 no cloaking 
 https___docs_google_com_presentation_d_e_2PACX_1vRqnNokpLI81rbqv7vQv4xL7VW4eBwfClSvzYIAs2hO8CqvBqhJKNNnXk7z8BSHMLDlYWUeyGiy9IDc_pub_start_false_loop_false_delayms_3000166074 132954 cloaking detected 
9611 9611 no cloaking 
9611 9611 no cloaking 
4611 4611 no cloaking 
 https://docs.google.com/presentation/d/e/2PACX-1vQvAHQZovOnDkh4o64HXR9GvJq3Sng2e3WQyqcGM8AOX4IlDhivVDVdPy6rP1hClAgeV9tcgbIaXyi7/pub?start=false&loop=false&delayms=3000&slide=idp 101951 68763 cloaking detected 
 https://docs.google.com/presentation/d/e/2PACX-1vSVDECuHh0-WTHteL3DfbitVJoIhY3wBajywMTUHNQmSTQ7yI_Jbv9KRHIeIPWhxz9BXlw-FW-ZWfcC/pub?start=false&loop=false&delayms=3000&slide=id.p 87858 54378 cloaking detected 
https://sp371156.sitebeat.crazydomains.com/ 7334 7334 no cloaking 
https://idex-crypto.vip/#/Home 1066 1066 no cloaking 
https://hostingbot.net/ 74602 74602 no cloaking 
