url                     , ocr_result
googme                  , -1
aplle                   , -1
applo                   , 1
login-redirect-microsoft, 1
login-google            , 1
microsoftu              , -1
appl3                   , 1
gooogle                 , 1
micosoft                , 1
apple                   , -1
microsofte              , 1
googlwe                 , 1
appl3e                  , -1
microskft               , -1
microso0ft              , 1
migrosoft               , 1
applde                  , -1
apqle                   , 1
micros0oft              , 1
appole                  , 1
app                     , 1
googlle                 , 1
microsott               , 1
googlee                 , 1
geogle                  , -1
microsoftb              , -1
applev                  , 1
micrlosoft              , 1
microsot                , 1
aple                    , -1
microsolft              , 1
miceosoft               , 1
google                  , -1
appleu                  , 1
mirosoft                , 1
apmle                   , -1
applke                  , -1
microsof5t              , 1
microsoftg              , -1
toogle                  , -1
appel                   , -1
epple                   , 1
microsofty              , -1
microsuft               , 1
microsofyt              , 1
2pple                   , 1
appke                   , -1
appleb                  , -1
appleg                  , 1
microsoftr              , 1
www-apple               , -1
micrdosoft              , -1
mi                      , 1
g                       , -1
icrosoft                , 1
zoogle                  , 1
miicrosoft              , 1
microdoft               , 1
apples                  , -1
wwwapple                , -1
mixcrosoft              , -1
www-microsoft           , -1
microeoft               , -1
wwwmicrosoft            , 1
atple                   , -1
mircosoft               , 1
googe                   , 1
a                       , 1
mi-crosoft              , 1
micriosoft              , 1
micrgsoft               , 1
gogle                   , 1
microlsoft              , 1
wwwgoogle               , 1
alple                   , 1
goovle                  , -1
appl4                   , 1
microsoftl              , -1
mic5osoft               , 1
micr4osoft              , 1
appls                   , -1
applep                  , 1
miucrosoft              , 1
microskoft              , 1
microsof6t              , 1
applej                  , 1
microsovt               , -1
microsoft               , -1
googple                 , -1
apople                  , -1
micro-soft              , 1
microsoftm              , -1
axple                   , -1
googleg                 , 1
micr5osoft              , 1
googloe                 , -1
apploe                  , 1
pple                    , -1
gkoogle                 , -1
googl                   , 1
microso9ft              , 1
googmle                 , -1
microsokft              , 1
mikcrosoft              , -1
microsoftd              , -1
auth-apple              , 1
micro3oft               , -1
microsofgt              , 1
appl-e                  , -1
applec                  , 1
microsofrt              , 1
aplpe                   , -1
gookgle                 , 1
microsodt               , 1
micr9osoft              , 1
microsofti              , 1
applre                  , 1
goowle                  , -1
account-verify-google   , -1
microsoftp              , -1
apphe                   , -1
g9oogle                 , 1
mmicrosoft              , 1
microesoft              , 1
aopple                  , -1
applz                   , -1
microsft                , 1
mic4rosoft              , 1
applw                   , -1
goofgle                 , -1
www-google              , 1
mkcrosoft               , -1
kicrosoft               , 1
microsoftx              , -1
microsooft              , 1
mictosoft               , -1
m9icrosoft              , 1
upple                   , 1
ampple                  , -1
apple3                  , -1
microxoft               , 1
applef                  , -1
mictrosoft              , 1
microsoft6              , -1
ypple                   , 1
zpple                   , -1
applen                  , -1
oogle                   , -1
gokogle                 , 1
micrrosoft              , 1
microsloft              , 1
googvle                 , -1
micrsoft                , 1
miocrosoft              , 1
microcoft               , -1
mi8crosoft              , 1
microsoct               , -1
moicrosoft              , 1
microwsoft              , -1
micr0osoft              , 1
micerosoft              , 1
mcrosoft                , -1
m8icrosoft              , 1
microsogft              , 1
googlr                  , 1
microqoft               , 1
login-microsoft         , 1
goopgle                 , -1
micrkosoft              , 1
micro9soft              , -1
appley                  , 1
appled                  , 1
micr0soft               , 1
microsaft               , 1
micr                    , -1
microsopft              , 1
microsotf               , 1
miccrosoft              , 1
mivrosoft               , -1
applem                  , 1
microsoftn              , -1
microzsoft              , 1
google4                 , -1
go9ogle                 , 1
alpple                  , -1
googyle                 , 1
googel                  , 1
microsofth              , -1
microsaoft              , 1
misrosoft               , -1
microsofr               , 1
mkicrosoft              , -1
mijcrosoft              , 1
microsofta              , 1
googl4                  , -1
mcirosoft               , -1
gogole                  , 1
midrosoft               , -1
microsdoft              , -1
g0ogle                  , 1
wwapple                 , -1
security-microsoft      , -1
microspft               , 1
googleq                 , 1
mibrosoft               , 1
microsofto              , 1
microsof                , 1
hoogle                  , 1
account-login-microsoft , 1
mic5rosoft              , 1
appler                  , 1
googlez                 , 1
micsosoft               , 1
micdosoft               , -1
microsxoft              , 1
mic4osoft               , -1
mi9crosoft              , 1
go0ogle                 , -1
goolge                  , 1
googie                  , -1
ogogle                  , 1
mjicrosoft              , 1
applek                  , -1
micros-oft              , 1
muicrosoft              , 1
googlpe                 , -1
microsobt               , 1
micros9oft              , 1
gaogle                  , 1
microksoft              , 1
googlecom               , 1
microsioft              , 1
microsoift              , -1
googlme                 , 1
microsofts              , -1
appkle                  , 1
apole                   , -1
applpe                  , -1
microswoft              , 1
microsift               , 1
microsofft              , 1
micxrosoft              , 1
spple                   , -1
microsort               , 1
applle                  , -1
microsogt               , -1
appla                   , -1
googlen                 , -1
microsfot               , 1
micrpsoft               , -1
appleh                  , 1
security-google         , 1
gpogle                  , -1
mecrosoft               , -1
mikrosoft               , 1
foogle                  , 1
microsodft              , 1
microsoftj              , 1
micrsooft               , -1
microoft                , 1
microszoft              , 1
micrposoft              , -1
microosoft              , 1
aplple                  , -1
microsoftz              , 1
mhcrosoft               , 1
applr                   , -1
microssoft              , 1
micfrosoft              , -1
ggoogle                 , 1
appple                  , 1
microsoftc              , 1
microsoftf              , -1
microsotft              , 1
microxsoft              , 1
microsoff               , -1
googhe                  , -1
