url               , src_result
appl3             , 1
microsoft         , 1
m9crosoft         , -1
microsoftb        , -1
zpple             , 1
www-apple         , 1
kicrosoft         , 1
microsof5t        , 1
microso9ft        , 1
ample             , 1
micr0osoft        , 1
migrosoft         , 1
micorsoft         , 1
apple             , 1
midrosoft         , -1
gkoogle           , 1
wwwapple          , 1
microsoft6        , -1
applw             , 1
mic5rosoft        , 1
mivrosoft         , -1
microsofts        , -1
googl4            , -1
appla             , 1
microeoft         , -1
mic4rosoft        , 1
applwe            , -1
applde            , 1
atple             , -1
mcrosoft          , -1
microsxoft        , 1
micriosoft        , 1
apples            , -1
micrsooft         , -1
2pple             , 1
appleq            , -1
zoogle            , 1
applef            , 1
microxsoft        , 1
googvle           , -1
appler            , 1
microsoftu        , -1
applz             , -1
micrdosoft        , -1
toogle            , 1
micrposoft        , -1
microsoftx        , -1
microsofy         , -1
microksoft        , 1
microsort         , 1
microsoftg        , -1
microsoct         , -1
applc             , 1
voogle            , -1
micro3oft         , 1
microsoff         , -1
apple4            , -1
mi9crosoft        , 1
micfrosoft        , -1
aplle             , -1
appke             , 1
security-microsoft, 1
spple             , -1
www-microsoft     , -1
mi8crosoft        , 1
micros-oft        , 1
microslft         , 1
microsofta        , 1
appls             , 1
paple             , 1
aple              , 1
applo             , 1
googlle           , 1
m8icrosoft        , 1
ypple             , -1
microsokft        , 1
micr              , -1
mkcrosoft         , -1
microsoftd        , -1
mcirosoft         , -1
microsoftl        , -1
login-apple       , -1
m9icrosoft        , 1
micrkosoft        , 1
mic5osoft         , 1
mkicrosoft        , -1
g                 , 1
micros9oft        , 1
googme            , -1
micrpsoft         , -1
microsoftp        , -1
alple             , 1
applek            , 1
microsoftm        , -1
g9oogle           , 1
mibrosoft         , -1
appl3e            , 1
appl-e            , 1
microwoft         , -1
microskft         , -1
googhe            , -1
micr5osoft        , 1
micfosoft         , -1
microsoftn        , -1
microsdoft        , -1
microsof6t        , 1
mic4osoft         , -1
mikcrosoft        , -1
apole             , 1
mixcrosoft        , -1
micr4osoft        , 1
applle            , 1
mictosoft         , -1
microsofdt        , -1
oogle             , 1
axple             , 1
microspoft        , -1
mijcrosoft        , 1
microsoftf        , -1
google            , -1
applr             , -1
applpe            , -1
microso0ft        , 1
