url,ocr_result,Value
googme,-1,-1
aplle,-1,-1
applo,1,1
login-redirect-microsoft,1,1
login-google,1,-1
microsoftu,-1,-1
appl3,1,-1
gooogle,1,1
micosoft,1,1
apple,-1,1
microsofte,1,-1
googlwe,1,-1
appl3e,-1,-1
microskft,-1,-1
microso0ft,1,1
migrosoft,1,1
applde,-1,-1
apqle,1,1
micros0oft,1,1
appole,1,1
app,1,1
googlle,1,-1
microsott,1,-1
googlee,1,-1
geogle,-1,-1
microsoftb,-1,1
applev,1,1
micrlosoft,1,1
microsot,1,1
aple,-1,1
microsolft,1,1
miceosoft,1,-1
google,-1,1
appleu,1,1
mirosoft,1,-1
apmle,-1,1
applke,-1,1
microsof5t,1,1
microsoftg,-1,-1
toogle,-1,-1
appel,-1,1
epple,1,1
microsofty,-1,-1
microsuft,1,1
microsofyt,1,-1
2pple,1,1
appke,-1,1
appleb,-1,-1
appleg,1,1
microsoftr,1,1
www-apple,-1,-1
micrdosoft,-1,-1
mi,1,1
g,-1,1
icrosoft,1,1
zoogle,1,-1
miicrosoft,1,1
microdoft,1,1
apples,-1,-1
wwwapple,-1,1
mixcrosoft,-1,-1
www-microsoft,-1,-1
microeoft,-1,-1
wwwmicrosoft,1,1
atple,-1,-1
mircosoft,1,1
googe,1,-1
a,1,1
mi-crosoft,1,1
micriosoft,1,-1
micrgsoft,1,-1
gogle,1,1
microlsoft,1,-1
wwwgoogle,1,1
alple,1,-1
goovle,-1,-1
appl4,1,1
microsoftl,-1,-1
mic5osoft,1,-1
micr4osoft,1,1
appls,-1,-1
applep,1,1
miucrosoft,1,1
microskoft,1,1
microsof6t,1,1
applej,1,-1
microsovt,-1,-1
microsoft,-1,1
googple,-1,-1
apople,-1,-1
micro-soft,1,1
microsoftm,-1,-1
axple,-1,-1
googleg,1,-1
micr5osoft,1,1
googloe,-1,-1
apploe,1,-1
pple,-1,-1
gkoogle,-1,-1
googl,1,1
microso9ft,1,1
googmle,-1,-1
microsokft,1,-1
mikcrosoft,-1,-1
microsoftd,-1,-1
auth-apple,1,-1
micro3oft,-1,-1
microsofgt,1,1
appl-e,-1,-1
applec,1,1
microsofrt,1,-1
aplpe,-1,-1
gookgle,1,1
microsodt,1,1
micr9osoft,1,1
microsofti,1,-1
applre,1,-1
goowle,-1,-1
account-verify-google,-1,-1
microsoftp,-1,-1
apphe,-1,-1
g9oogle,1,-1
mmicrosoft,1,1
